Iteration,Total_Wall_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms,SW_Overhead_ms
446,0.244242,0.035879,0.11792,0.01976,0.070683
447,0.627659,0.0275,0.448314,0.037491,0.114354
448,0.283447,0.024987,0.159997,0.020032,0.078431
449,0.32421,0.027563,0.14407,0.037977,0.1146
450,0.234899,0.026648,0.102424,0.021975,0.083852
451,0.39322,0.027276,0.202208,0.037574,0.126162
452,0.318128,0.026655,0.182694,0.021759,0.08702
453,0.450509,0.026982,0.267508,0.037836,0.118183
454,0.40121,0.030911,0.263044,0.023449,0.083806
455,0.42748,0.035464,0.240974,0.037902,0.11314
456,0.307133,0.029656,0.178148,0.021853,0.077476
457,0.365371,0.042615,0.179205,0.038036,0.105515
458,0.500671,0.040078,0.365464,0.021449,0.07368
459,0.340627,0.040081,0.151368,0.03784,0.111338
460,0.276326,0.041901,0.142427,0.024963,0.067035
461,0.440569,0.030503,0.256251,0.039313,0.114502
462,0.276793,0.027232,0.144757,0.024611,0.080193
463,0.273494,0.03223,0.092139,0.037502,0.111623
464,0.272846,0.024774,0.141028,0.020513,0.086531
465,0.333599,0.027012,0.160046,0.037149,0.109392
466,0.381046,0.022825,0.258084,0.028318,0.071819
467,0.358611,0.024574,0.177206,0.037664,0.119167
468,0.288275,0.025535,0.159886,0.019606,0.083248
469,0.342175,0.028826,0.1583,0.037809,0.11724
470,0.457452,0.025895,0.305728,0.049033,0.076796
471,0.395032,0.038541,0.20706,0.037476,0.111955
472,0.342057,0.025746,0.226705,0.019093,0.070513
473,0.36157,0.027982,0.201463,0.037502,0.094623
474,0.432452,0.046804,0.239801,0.06494,0.080907
475,0.394899,0.055734,0.165935,0.037639,0.135591
476,0.347579,0.040534,0.205391,0.021095,0.080559
477,1.00004,0.052616,0.777974,0.038093,0.131359
478,0.268418,0.027702,0.150115,0.021947,0.068654
479,0.394651,0.025722,0.212513,0.037616,0.1188
480,0.235017,0.03251,0.108203,0.022945,0.071359
481,0.385113,0.026978,0.201954,0.037642,0.118539
482,0.28391,0.028332,0.161646,0.022138,0.071794
483,0.582613,0.025431,0.403404,0.038183,0.115595
484,0.281201,0.028142,0.150793,0.019609,0.082657
485,0.38545,0.02474,0.194196,0.037809,0.128705
486,0.48375,0.026936,0.364209,0.019354,0.073251
487,0.380795,0.027087,0.167922,0.06172,0.124066
488,0.315732,0.036231,0.169575,0.033314,0.076612
489,0.330349,0.035914,0.136207,0.045353,0.112875
490,0.29969,0.030514,0.164691,0.021611,0.082874
491,0.343852,0.029678,0.151352,0.037598,0.125224
492,0.23789,0.028852,0.107552,0.020553,0.080933
