backend,sample,N,E,h2d_ms,prep_ms,graph_ms,forward_ms,d2h_ms,compute_ms,transfer_ms,e2e_ms
cpu_eager,353,32,122,0.0,0.085302,0.098559,1.058742,0.0,1.2426030000000001,0.0,1.2426030000000001
cpu_eager,354,45,334,0.0,0.07968,0.116871,1.156398,0.0,1.352949,0.0,1.352949
cpu_eager,355,42,282,0.0,0.076134,0.111343,1.151258,0.0,1.3387349999999998,0.0,1.3387349999999998
cpu_eager,356,22,96,0.0,0.077689,0.08833,1.042528,0.0,1.2085469999999998,0.0,1.2085469999999998
cpu_eager,357,35,148,0.0,0.075226,0.100816,1.086758,0.0,1.2628,0.0,1.2628
cpu_eager,358,26,112,0.0,0.074036,0.092255,1.061513,0.0,1.227804,0.0,1.227804
cpu_eager,359,34,204,0.0,0.075604,0.100033,1.12115,0.0,1.2967870000000001,0.0,1.2967870000000001
cpu_eager,360,58,720,0.0,0.077688,0.138507,1.320202,0.0,1.536397,0.0,1.536397
cpu_eager,361,37,238,0.0,0.075642,0.103249,1.198128,0.0,1.377019,0.0,1.377019
cpu_eager,362,48,288,0.0,0.082056,0.117989,1.285455,0.0,1.4855,0.0,1.4855
cpu_eager,363,59,498,0.0,0.079337,0.154359,1.36047,0.0,1.594166,0.0,1.594166
cpu_eager,364,49,310,0.0,0.083342,0.129288,1.286518,0.0,1.499148,0.0,1.499148
cpu_eager,365,34,102,0.0,0.085123,0.111925,1.155495,0.0,1.3525429999999998,0.0,1.3525429999999998
cpu_eager,366,44,236,0.0,0.077238,0.112209,1.128328,0.0,1.317775,0.0,1.317775
cpu_eager,367,39,208,0.0,0.07647,0.102877,1.128484,0.0,1.307831,0.0,1.307831
cpu_eager,368,57,448,0.0,0.077199,0.137418,1.198871,0.0,1.413488,0.0,1.413488
cpu_eager,369,41,226,0.0,0.077279,0.109128,1.136628,0.0,1.323035,0.0,1.323035
cpu_eager,370,47,280,0.0,0.076522,0.117299,1.149087,0.0,1.342908,0.0,1.342908
cpu_eager,371,26,80,0.0,0.07742,0.093605,1.050331,0.0,1.2213559999999999,0.0,1.2213559999999999
cpu_eager,372,25,76,0.0,0.075165,0.089841,1.044967,0.0,1.209973,0.0,1.209973
cpu_eager,373,44,284,0.0,0.076042,0.110792,1.132912,0.0,1.3197459999999999,0.0,1.3197459999999999
cpu_eager,374,63,542,0.0,0.076596,0.146054,1.252248,0.0,1.474898,0.0,1.474898
cpu_eager,375,86,1082,0.0,0.076928,0.168936,1.40086,0.0,1.646724,0.0,1.646724
cpu_eager,376,35,194,0.0,0.07548,0.102127,1.131644,0.0,1.3092510000000002,0.0,1.3092510000000002
cpu_eager,377,63,986,0.0,0.078742,0.154272,1.350407,0.0,1.583421,0.0,1.583421
cpu_eager,378,26,84,0.0,0.082555,0.09228,1.054654,0.0,1.229489,0.0,1.229489
cpu_eager,379,28,144,0.0,0.076061,0.095821,1.112298,0.0,1.28418,0.0,1.28418
cpu_eager,380,45,228,0.0,0.07557,0.109427,1.116177,0.0,1.301174,0.0,1.301174
cpu_eager,381,26,134,0.0,0.073822,0.098216,1.111303,0.0,1.2833409999999998,0.0,1.2833409999999998
cpu_eager,382,84,1134,0.0,0.07952,0.182124,1.374545,0.0,1.636189,0.0,1.636189
cpu_eager,383,57,304,0.0,0.076909,0.138369,1.167062,0.0,1.3823400000000001,0.0,1.3823400000000001
cpu_eager,384,23,82,0.0,0.077213,0.088881,1.048361,0.0,1.214455,0.0,1.214455
cpu_eager,385,48,304,0.0,0.075746,0.121299,1.134439,0.0,1.331484,0.0,1.331484
cpu_eager,386,34,126,0.0,0.074283,0.104694,1.072636,0.0,1.2516129999999999,0.0,1.2516129999999999
cpu_eager,387,27,76,0.0,0.075547,0.093231,1.036747,0.0,1.2055250000000002,0.0,1.2055250000000002
cpu_eager,388,22,102,0.0,0.073859,0.089029,1.04395,0.0,1.2068379999999999,0.0,1.2068379999999999
cpu_eager,389,29,86,0.0,0.074708,0.093012,1.040725,0.0,1.2084449999999998,0.0,1.2084449999999998
